{nodeName: SPACEBEE-4, nodeId: 43139}

len-data, len-low, len-med, len-hi, mem%, time-cache, pow, num-proc
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
[0, 0, 0, 0, 0.0, 60.0, 332200.0, 0, 0]
